row_id,split
1_1990,train
1_1991,train
1_1992,train
1_1993,train
1_1994,train
1_1995,train
1_1996,train
1_1997,train
1_1998,train
1_1999,train
1_2000,train
1_2001,train
1_2002,train
1_2003,train
1_2004,train
1_2005,train
1_2006,train
1_2007,train
1_2008,train
1_2009,train
1_2010,train
1_2011,train
1_2012,validation
1_2013,validation
1_2014,test
1_2015,test
2_1990,train
2_1991,train
2_1992,train
2_1993,train
2_1994,train
2_1995,train
2_1996,train
2_1997,train
2_1998,train
2_1999,train
2_2000,train
2_2001,train
2_2002,train
2_2003,train
2_2004,train
2_2005,train
2_2006,train
2_2007,train
2_2008,train
2_2009,train
2_2010,train
2_2011,train
2_2012,validation
2_2013,validation
2_2014,test
2_2015,test
3_1990,train
3_1991,train
3_1992,train
3_1993,train
3_1994,train
3_1995,train
3_1996,train
3_1997,train
3_1998,train
3_1999,train
3_2000,train
3_2001,train
3_2002,train
3_2003,train
3_2004,train
3_2005,train
3_2006,train
3_2007,train
3_2008,train
3_2009,train
3_2010,train
3_2011,train
3_2012,validation
3_2013,validation
3_2014,test
3_2015,test
4_1990,train
4_1991,train
4_1992,train
4_1993,train
4_1994,train
4_1995,train
4_1996,train
4_1997,train
4_1998,train
4_1999,train
4_2000,train
4_2001,train
4_2002,train
4_2003,train
4_2004,train
4_2005,train
4_2006,train
4_2007,train
4_2008,train
4_2009,train
4_2010,train
4_2011,train
4_2012,validation
4_2013,validation
4_2014,test
4_2015,test
5_1990,train
5_1991,train
5_1992,train
5_1993,train
5_1994,train
5_1995,train
5_1996,train
5_1997,train
5_1998,train
5_1999,train
5_2000,train
5_2001,train
5_2002,train
5_2003,train
5_2004,train
5_2005,train
5_2006,train
5_2007,train
5_2008,train
5_2009,train
5_2010,train
5_2011,train
5_2012,validation
5_2013,validation
5_2014,test
5_2015,test
6_1990,train
6_1991,train
6_1992,train
6_1993,train
6_1994,train
6_1995,train
6_1996,train
6_1997,train
6_1998,train
6_1999,train
6_2000,train
6_2001,train
6_2002,train
6_2003,train
6_2004,train
6_2005,train
6_2006,train
6_2007,train
6_2008,train
6_2009,train
6_2010,train
6_2011,train
6_2012,validation
6_2013,validation
6_2014,test
6_2015,test
7_1990,train
7_1991,train
7_1992,train
7_1993,train
7_1994,train
7_1995,train
7_1996,train
7_1997,train
7_1998,train
7_1999,train
7_2000,train
7_2001,train
7_2002,train
7_2003,train
7_2004,train
7_2005,train
7_2006,train
7_2007,train
7_2008,train
7_2009,train
7_2010,train
7_2011,train
7_2012,validation
7_2013,validation
7_2014,test
7_2015,test
8_1990,train
8_1991,train
8_1992,train
8_1993,train
8_1994,train
8_1995,train
8_1996,train
8_1997,train
8_1998,train
8_1999,train
8_2000,train
8_2001,train
8_2002,train
8_2003,train
8_2004,train
8_2005,train
8_2006,train
8_2007,train
8_2008,train
8_2009,train
8_2010,train
8_2011,train
8_2012,validation
8_2013,validation
8_2014,test
8_2015,test
9_1990,train
9_1991,train
9_1992,train
9_1993,train
9_1994,train
9_1995,train
9_1996,train
9_1997,train
9_1998,train
9_1999,train
9_2000,train
9_2001,train
9_2002,train
9_2003,train
9_2004,train
9_2005,train
9_2006,train
9_2007,train
9_2008,train
9_2009,train
9_2010,train
9_2011,train
9_2012,validation
9_2013,validation
9_2014,test
9_2015,test
10_1990,train
10_1991,train
10_1992,train
